Date,Price,Open,High,Low,Vol.,Change %
28-Nov-20,1.888,1.857,1.928,1.811,-,1.66%
27-Nov-20,1.857,1.901,1.96,1.79,-,-2.30%
26-Nov-20,1.901,2.274,2.29,1.747,-,-16.39%
25-Nov-20,2.274,2.276,2.482,2.202,-,-0.10%
24-Nov-20,2.276,2.274,2.437,2.172,-,0.07%
23-Nov-20,2.274,2.157,2.341,2.129,-,5.44%
22-Nov-20,2.157,2.393,2.393,2.108,-,-9.85%
21-Nov-20,2.393,2.104,2.495,2.05,-,13.74%
20-Nov-20,2.104,2.073,2.221,2.061,-,1.50%
19-Nov-20,2.073,2.124,2.174,2.029,-,-2.40%
18-Nov-20,2.124,2.203,2.204,2.031,-,-3.59%
17-Nov-20,2.203,2.255,2.313,2.142,-,-2.31%
16-Nov-20,2.255,2.033,2.345,2.008,-,10.93%
15-Nov-20,2.033,1.928,2.188,1.928,-,5.43%
14-Nov-20,1.928,2.019,2.024,1.893,-,-4.53%
13-Nov-20,2.019,1.895,2.042,1.895,-,6.58%
12-Nov-20,1.895,2.002,2.049,1.842,-,-5.34%
11-Nov-20,2.002,2.261,2.287,2.002,-,-11.45%
10-Nov-20,2.261,2.025,2.306,2.019,-,11.61%
9-Nov-20,2.025,2.152,2.175,1.988,-,-5.89%
8-Nov-20,2.152,2.505,2.51,1.551,-,-14.08%
7-Nov-20,2.505,1.911,2.505,1.911,-,31.05%
6-Nov-20,1.911,1.4,1.921,1.4,-,36.50%
5-Nov-20,1.4,1.397,1.471,1.311,-,0.21%
4-Nov-20,1.397,1.418,1.418,1.298,-,-1.46%
3-Nov-20,1.418,1.481,1.481,1.418,-,-4.26%
2-Nov-20,1.481,1.604,1.632,1.475,-,-7.64%
1-Nov-20,1.604,1.545,1.635,1.526,-,3.78%
31-Oct-20,1.545,1.429,1.548,1.429,-,8.12%
30-Oct-20,1.429,1.427,1.445,1.353,-,0.12%
29-Oct-20,1.427,1.512,1.565,1.426,-,-5.57%
28-Oct-20,1.512,1.712,1.715,1.475,-,-11.72%
27-Oct-20,1.712,1.692,1.739,1.623,-,1.21%
26-Oct-20,1.692,1.787,1.857,1.635,-,-5.33%
25-Oct-20,1.787,1.914,1.914,1.775,-,-6.62%
24-Oct-20,1.914,1.956,1.959,1.894,-,-2.16%
23-Oct-20,1.956,1.954,1.982,1.863,-,0.10%
22-Oct-20,1.954,1.891,2.078,1.891,-,3.34%
21-Oct-20,1.891,1.89,2.03,1.863,-,0.08%
20-Oct-20,1.89,2.057,2.094,1.863,-,-8.16%
19-Oct-20,2.057,2.203,2.203,2.056,-,-6.60%
18-Oct-20,2.203,2.196,2.246,2.187,-,0.31%
